Nom,Type de bière,Type de bière précision,Degré d'alcool,Brasserie,Pays,Prix,Amertume,Acidité,Vivacité,Puissance,Rondeur,Fruité,Visuel,Odeur,Goût,Description,Url
PAULANER HELL SANS ALCOOL,BLONDE,HELLES,0.4,PAULANER,ALLEMAGNE,1.65,6,4,4,2,4,4,"Robe blonde, reflets dorés, fine mousse blanche","Arômes houblonnés, herbacés, maltés, agrumes, épices","Fraîche, désaltérante, houblons, herbes, malt, agrumes, épices, amertume","Les premières mentions de la brasserie Paulaner datent de 1634. À cette époque, les bières étaient brassées par les moines selon la loi de pureté allemande de 1516. Ces derniers produisaient pour leur propre consommation et vendaient le surplus pour venir en aide aux pauvres. Aujourd'hui, la brasserie fait partie des monuments de la ville de Munich.
La Paulaner Hell sans alcool est une lager où l'alcool a été retiré selon un procédé très complexe permettant de conserver l'ensemble de ses arômes. Elle possède donc le même goût que la Paulaner Hell, mais sans la dimension alcooleuse.
À la dégustation, la Paulaner Hell sans alcool dévoile une robe blonde aux doux reflets dorés surplombée d'un fin col de mousse blanche. Elle révèle au nez de succulents arômes de houblons herbacés, de malt, d'agrumes et d'épices. En bouche, elle tient toutes ses promesses. Désaltérante et fraîche, elle offre une finale légèrement amère.
Un délice signé Paulaner !",https://vandb.fr/paulaner-hell-sans-alcool.html
MANGO RACOON,BLONDE,IPA,6.2,LA DÉBAUCHE,FRANCE,3.95,6,2,6,6,6,8,Robe blonde orangée opaque,"Arômes houblonnés et de mangue, notes exotiques","Bouche soyeuse et ample sur la mangue, belle amertume","Née d'une collaboration entre la brasserie d'Angoulême La Débauche et la brasserie Mayennaise Mont Hardi, la Mango Racoon est une Milkshake IPA brassée avec de véritables mangues et qui a tout l'air d'un jus de fruits frais !
À peine versée dans le verre, on observe une dense robe blonde orangée et opaque. C'est ensuite une bombe aromatique et fruitée qui nous explose au nez. Des notes légèrement houblonnées sont perceptibles. En bouche, les saveurs sont intenses et fruitées. La mangue est omniprésente et se mêle parfaitement à la belle amertume bien contrôlée. La bouche est soyeuse et ample et la finale sèche.
Essayez de profiter de ce délice houblonné à la mangue à l'abri des regards indiscrets. Un raton laveur un peu jaloux sera prêt à tout pour se le procurer !",https://vandb.fr/mango-racoon.html
SKIANTO,BLONDE,SESSION IPA,4.3,TOCCALMATTO,ITALIE,3.05,4,2,6,4,4,6,"Robe blonde pâle, reflets dorés","Arômes de citron, d’agrumes et de melon","Saveurs de fruits, raisin, citron, notes maltées, pain, légère amertume","La brasserie italienne Toccalmatto, située à Fidenza, nous propose une bière dans l'ère du temps avec la Skianto, une Session IPA légère, à l'aromatique puissante. Idéale pour profiter du soleil italien, elle va faire des heureux !
Avec sa robe blonde pâle aux reflets dorés et sa fine mousse blanche, elle donne au nez des arômes de citron, d’agrumes et de melon. En bouche, les saveurs sont légères et fraîches sur les fruits avec le raisin et le citron. Des notes maltées et de pain l'accompagnent. Une légère amertume termine la dégustation.
Enfilez votre bob et foncez déguster cette merveille chez V and B. À défaut d'avoir du Gelato, le conseil du caviste sera impeccable !",https://vandb.fr/skianto.html
CALLISTA,BLONDE,IPA,6.0,MONT HARDI,FRANCE,3.75,8,2,6,6,4,6,"Robe jaune paille, reflets orangés, trouble, fine mousse blanche","Arômes houblonnés, herbacés, touches de fruits exotiques","Saveurs équilibrées de fruits tropicaux, notes herbacées, de tangerine et de citron, finale amère","La Callista, Double Dry Hopped IPA de la brasserie Mont Hardi, tire sa source dans la mythologie grecque. Nous faisant aussi penser aux West Coast IPA, elle fait référence de par son nom à un houblon utilisé lors de son brassage. Petite anecdote à noter : la constellation qui fait partie intégrante de son design représente la Grande Ourse. Mais si vous y regardez de plus près, c'est un autre animal que vous découvrirez !
Cette IPA moderne et doublement houblonnée à froid nous permet de concentrer davantage ses saveurs sur l'aromatique du houblon et non son amertume. Avec une robe blonde aux reflets orangés, qui nous rappellent étrangement les étoiles filantes, elle offre une véritable complexité aromatique et l'utilisation des houblons Azacca Cryo Hops®, Sabro™, Mandarina Bavaria et Callista donne des arômes tropicaux qui envahissent le palais. Soutenues par des notes herbacées et une touche de tangerine et de citron, une belle amertume sèche clôt la dégustation et vient contre-balancer ses saveurs fruitées.
N'hésitez pas le soir à observer le ciel étoilé... Qui sait ? Vous y croiserez peut-être une grenouille qui vous fait penser à la Grande Ourse !",https://vandb.fr/callista.html
CHOUFFE BLANCHE,BLANCHE,WITBIER,6.5,ACHOUFFE,BELGIQUE,2.5,2,2,2,6,4,6,"Robe jaune pâle, légèrement trouble, mousse blanche généreuse","Arômes d'épices et d'agrumes, notes de céréales","Légère, rafraîchissante, saveurs de citron, notes de coriandre et céréales","Gravir une montagne n'est pas à la portée de tout le monde. Cette épreuve demande beaucoup de volonté et d'endurance. Mais comme tout bon lutin, Marcel, l'emblématique nain de la brasserie d'Achouffe a peur de rien. Une fois par an, il se lance dans l'ascension du Mont Chouffe afin de profiter du bon air pur de la montagne. C'est lors d'une de ces expéditions que Marcel a eu une révélation. La fraîcheur et le blanc immaculé de la montagne l'inspirèrent pour la création d'une nouvelle Chouffe : la Chouffe blanche.
La Chouffe Blanche est une witbier un peu spéciale puisqu'elle possède les mêmes spécificités que ses grandes sœurs mais en version blanche.
À la dégustation, elle dévoile une robe jaune pâle, légèrement brumeuse et recouverte d'une épaisse mousse blanche. Brassée à partir de citron, de coriandre et d'écorces d'oranges, cette Chouffe offre au nez comme en bouche de délicats arômes d'agrumes et d'épices ainsi que de délicates notes de céréales. C'est en bouche qu'elle révèle toute sa fraîcheur.
Un vrai délice, aussi rafraîchissant que les glaciers du Mont Chouffe !",https://vandb.fr/chouffe-blanche.html
SUPER VANILLA BREW,NOIRE,STOUT,5.9,LA DÉBAUCHE,FRANCE,3.9,4,2,4,6,8,4,"Robe noire obscure, fine mousse beige","Arômes intenses de vanille et de biscuits, notes de caramel et de lactose","Saveurs de vanille et de biscuits, notes chocolatées et torréfiées","Un soir d'hiver, assis au coin du feu, vous vous rappelez, nostalgique, de l'époque où vous étiez jeune et que votre grand-mère vous préparait de délicieux desserts comme sa célèbre crème brûlée... Une Super Vanilla Brew de la brasserie La Débauche à la main, vous contemplez les flammes crépiter. Soudain, la magie opère... À peine vos lèvres effleurent le verre que de forts arômes de vanille vous parviennent et vous ramènent à cette belle époque !
Ce Milk Vanilla Stout avec sa robe aussi noire que la nuit et sa belle mousse beige offre des arômes puissants de vanille accompagnés de notes de biscuit et de caramel. En bouche, cette craft beer révèle des saveurs vanillées et une belle texture grâce à l'ajout de lactose ! Ronde en bouche, des notes de chocolat et de moka viennent lui apporter une belle complexité aromatique.
Vous finissez votre verre et le reposez délicatement près de la cheminée...",https://vandb.fr/super-vanilla-brew.html
CORSENDONK AGNUS,BLONDE,TRIPLE,7.5,CORSENDONK,BELGIQUE,2.4,4,2,4,8,8,6,"Robe jaune profonde, reflets orangés, mousse blanche généreuse","Épices, levures, malt, sucre, pain grillé, caramel, miel","Ronde, généreuse, levure, épice, corsée, miel, malt, notes houblonnées végétales","La brasserie Corsendonk tient son nom d'une ancienne abbaye augustine ayant fermé en 1784. Plus de 120 plus tard, Antonius Keersmaekers décida de relancer l'activité brassicole de la ville de Oud Turnhout en créant la brasserie Corsendonk. En 1980, le petit-fils du fondateur souhaita revenir aux sources de la brasserie et créa la gamme Corsendonk. Les bouteilles de cette dernière arborent une illustration représentant la fondatrice de l'abbaye originelle de Corsendonk : ""Marie Barbant""
La Corsendonk Agnus est une bière triple d'Abbaye brassée en fermentation haute. Le terme Triple signifie que la bière a été fabriquée avec beaucoup plus de malt qu'à l'habitude ce qui permet une plus forte teneur en alcool de la bière.
Cette Triple à la robe jaune profonde et aux reflets orangés est surplombée d'une généreuse et délicate mousse blanche. Cette dernière dégage des effluves d'épices, de levures, de malt et de sucre, associées à des notes de pain grillé, de caramel et de miel. La bouche, ronde et généreuse, révèle des saveurs épicées et corsées accompagnées de notes mielleuses et maltée. Le tout avec un arrière-goût houblonné.
Puissante et généreuse, cette Triple est un exemple du savoir-faire belge.",https://vandb.fr/1446392/corsendonk-agnus.html
BONSECOURS BLONDE,BLONDE,STRONG ALE,8.0,CAULIER,BELGIQUE,2.8,4,2,4,8,8,4,"Robe dorée, trouble, mousse blanche généreuse","Levure, fruits secs, pain sec, biscuit, miel, sucre","Généreuse, épicée, sucrée, levurée, miel, fruits","Chez les Caulier, la bière est une histoire de famille. Bientôt un siècle que cette famille voue une vraie passion pour cette boisson. Tout d'abord, en tant que commerçant, puis depuis plus de 20 ans en tant que brasseur. La Bonsecours Blonde est le premier brassin réalisé par la brasserie, celui qui inspira tous les autres.
Cette délicieuse bière refermentée en bouteille, non filtrée ni pasteurisée, est le fleuron de la Brasserie Caulier. Elle dégage des arômes de malt, de houblon, de sucre candi et d’agrumes, mêlés à d'agréables notes mielleuses. Sa mousse abondante et consistante dissimule une belle robe ambrée légèrement trouble. En bouche, la Bonsecours Blonde se révèle à la fois puissante et rafraîchissante. Son goût est un mélange de saveurs épicées et sucrées auxquelles s'ajoutent des notes de levure, de miel et de fruits. Malgré son fort degré d'alcool, cette bière jouit d'un équilibre parfait qui rend la perception de l'alcool très difficile.
Cette Bonsecours est une bière blonde généreuse, complexe et chaleureuse.",https://vandb.fr/bonsecours-blonde.html
RIVIÈRE D'AIN BRUNE,BRUNE,DOUBLE,7.4,RIVIÈRE D'AIN,FRANCE,4.3,4,2,4,6,8,4,"Robe marron trouble, mousse blanc cassé","Arômes de malt grillé, caramel, miel, fruits secs","Douce et onctueuse, notes de malt grillé, caramel, miel, liqueurs, épices, sucre roux, fruits mûrs, finale longue et peu amère","Depuis ses débuts en 2005, la ferme-brasserie Rivière d'Ain mise sur la force de la nature pour le brassage de ses bières. Que se soit pour l'orge ou encore l'eau, elle s'approvisionne sur sa propre exploitation agricole. Pour l'orge, elle le cultive et le fait sécher au sein de la ferme. Quant à l'eau, elle la puise directement dans l'Ain dont l’extrême pureté offre à la bière une qualité exceptionnelle, qui lui a valu d'être connue à travers le monde.
La Rivière d'Ain Brune est une bière de haute fermentation non filtrée et non pasteurisée. Brassée à partir de malts torréfiés, elle arbore à la dégustation une robe marron légèrement trouble. De doux arômes de malt grillé, de caramel, de miel et de fruits s'échappent de sa fine mousse blanche. En bouche, elle se veut douce et onctueuse. On y retrouve les mêmes perceptions qu'au nez auxquelles s'ajoutent des notes d'épices, de liqueur, de sucre roux et de fruits mûrs. La finale de cette bière est longue et peu amère.
Cette petite française vous étonnera par sa qualité exceptionnelle.",https://vandb.fr/riviere-d-ain-brune.html
MADAME SATAN,BLONDE,NEIPA,7.0,TOCCALMATTO,ITALIE,3.05,4,4,4,6,4,8,"Robe blonde voilée, fine mousse blanche","Arômes explosifs de houblons, notes de fruits exotiques","Saveurs houblonnées et de fruits de la passion, d'orange sanguine, notes d'ananas et d'abricot","Née d'une collaboration entre la brasserie Italienne Toccalmatto et la brasserie anglaise Magic Rock, la madame Satan est une NEIPA crémeuse à l'aromatique fruitée !
Arborant une robe blonde voilée et une fine mousse blanche. Ayant bénéficié d'un Double Dry Hopping avec les houblons Mosaïque, Citra et Amarillo, elle dévoile au nez des arômes intenses sur le houblon, accompagnés de notes fruitées ! En bouche, c'est un véritable délice ! Avec sa texture crémeuse, elle propose des saveurs houblonnées, de fruits de la passion, d'orange sanguine qui se mêlent aux notes d'ananas et d'abricot. Son amertume se veut très légère.
Alors, saurez-vous résister aux avances de Madame Satan ?",https://vandb.fr/madame-satan.html
AUGUSTIJN BLONDE,BLONDE,PALE ALE,7.0,VAN STEENBERGE,BELGIQUE,2.0,6,2,4,6,6,6,"Robe blonde foncée, limpide et mousse blanche généreuse","Notes maltées et épicées, arômes herbacés et houblonnées-fruités, levure","Relativement houblonnée, fruitée et herbacée, notes maltées et vanillées, pain grillé, amertume puissante mais bien contrôlée","Au Moyen-Age, souvent contaminée,l'eau était une source de maladie pour la population. A l'époque, il était donc préférable de boire de la bière, utilisant de l'eau bouillie donc propre à la consommation. Pour aider la population, l'ensemble des communautés monastiques se sont donc mis à brasser. C'est ainsi que les moines de l'abbaye des pères Augustins se sont mis à produire leur propre bière la Augustijn. A partir de 1987, les moines décidèrent de céder la recette à la brasserie Van Steenberge. Depuis, elle perpétue la tradition du monastère !
Brassée avec la même souche de levure depuis sa création, la Augustijn Blonde possède une robe blonde foncée, limpide surmontée mousse blanche généreuse. Les houblons utilisés apportent des arômes fruités et herbacés, accompagnés de notes maltées et épicées, ainsi que des touches de levure. Relativement houblonnée en bouche, on y retrouve des saveurs fruitées, herbacées, mais aussi des notes maltées et vanillées. L'amertume de cette bière est forte mais bien contrôlée.
Une bière d'Abbaye généreuse et puissante !",https://vandb.fr/augustijn-blonde.html
FREAKABOO,NOIRE,STOUT,8.0,LA DÉBAUCHE,FRANCE,4.6,4,2,4,8,8,4,"Robe noire intense, mousse beige crémeuse","Arômes de malts torréfiés, de vanille et de marshmallow, notes de chocolat et de grillé","Saveurs intenses de vanille et de marshmallow, notes de chocolat et de café","Défenseur des crafts et adorateur absolu des bières noires, Freakaboo n'agit que dans l’obscurité. Si par un soir froid d'hiver, vous allumez un feu et profitez d'une bière noire en observant les flammes crépiter, il n'est pas impossible que vous aperceviez le temps d'une seconde, sa silhouette se dessiner dans le jaune ardent du foyer !
La Freakaboo de la brasserie d'Angoulême La Débauche est un Stout puissant et gourmand qui surprend par sa recette. Une fois versé dans un verre, on observe une robe d'un noir opaque surmontée d'une belle mousse beige. Au nez, des arômes de malts torréfiés, de vanille et de marshmallow dominent. Et oui, vous avez bien entendu : DES MARSHMALLOWS ! On retrouve en bouche un somptueux mélange entre la vanille et ce bonbon gourmand. Des notes de chocolat et de café viennent compléter la dégustation et apportent une légère amertume agréable sur la finale.
Amateurs de stout, n'hésitez pas à rester aux aguets, il parait que quiconque lui piquera son chapeau, obtiendra des bières noires à vie ! Le rêve non ?!",https://vandb.fr/freakaboo.html
BLOEMENBIER,AMBRÉE,AMBER ALE,7.0,DE PROEF,BELGIQUE,2.6,2,2,4,6,8,6,"Robe ambrée, reflets dorés, trouble, mousse blanche généreuse","Arômes maltés, de miel, de fruits blancs, intensément fleuris, notes de caramel","Saveurs douces et généreuses, sucrée, de fruits blancs, florales, de pêche, d'abricot et de caramel, légèrement épicée","Qui l'eut cru qu'au beau milieu de la Flandre-Orientale, perdue au milieu de plusieurs champs de fleurs, l'une des brasseries les plus emblématiques du pays se tiendrait là, devant vous et vous ouvrirait ses portes ! Alors que vous franchissez la porte, des senteurs de plus en plus puissantes de fleurs se distinguent !
La Bleomenbier de la brasserie belge De Proef est une petite pépite qui a la particularité d'être brassée par et pour la brasserie. En effet, cette dernière est normalement connue pour brasser des bières pour d'autres comme le célèbre Mikkeller !
Arborant une belle robe ambrée aux reflets dorés, la Bloemenbier, dont le nom signifie littéralement bière de fleurs, offre des arômes de malt et de miel accompagnés de notes puissantes de fleurs. En effet une autre particularité de cette bière est l'utilisation de ce produit, qui a fait la renommé de la ville de Lochristi, dans son processus de fermentation. En bouche, on retrouve donc des saveurs intenses florales, de fruits blancs et accompagnées de notes d'abricot et de caramel.
Posée sur le bar de la brasserie, juste devant vos yeux, se tient cette fameuse Bloemenbier bien enveloppée dans son étui en papier. Vous en approchant, vous savez que cette dégustation va changer votre voyage !",https://vandb.fr/bloemenbier.html
SAINT FEUILLIEN FIVE,BLONDE,BELGIAN PALE ALE,5.0,SAINT FEUILLIEN,BELGIQUE,2.2,6,4,6,4,6,6,"Robe blonde pâle, limpide, brillante, bulles fines, mousse blanche fine et persistante","Notes fraîches de houblon, notes fruitées, agrumes","Ronde et ample, notes maltées douces, agrumes , fruits, fine amertume","La brasserie Saint Feuillien est un incontournable du paysage brassicole belge. Bien connue pour ses bières de type abbaye, Saint Feuillien est l'une des plus talentueuses en proposant des créations uniques qui mettent en avant le savoir-faire et la tradition.
La Five est la dernière création de la brasserie et la bière la plus légère de la gamme Saint Feuillien. Son nom fait référence à son degré d'alcool : 5%.
À la dégustation, la Five présente une robe blonde claire, limpide surplombée d'une fine mousse blanche. Au nez comme en bouche, elle dévoile une riche palette aromatique composée de notes de houblons, de céréales, de fruits blancs et d'agrumes. Sa légère amertume la rend particulièrement douce et rafraîchissante.
Un délice qui saura se faire apprécier.",https://vandb.fr/saint-feuillien-five.html
DISTELHAUSER BLONDE,BLONDE,ALE,5.4,DISTELHAUSER,ALLEMAGNE,1.45,6,2,6,4,4,6,"Robe blonde dorée, claire, limpide, fine mousse blanche et persistante","Notes céréalières, agrumes, florale","Légère, florale, agrumes, malt, pain grillée, légère amertume","La brasserie Distelhauser fut fondée en 1811 en Allemagne. Depuis sa création, elle brasse des bières dans le respect de la loi de pureté. Ses bières, produites avec les meilleurs ingrédients de la région, présentent une qualité exceptionnelle.
La Distelhauser Blonde est une bière de fermentation haute ayant bénéficié d'un dry hopping. Celui-ci permet de faire ressortir les notes fruitées du houblon.
La Distelhauser Blonde possède une robe blonde dorée, limpide surmontée d'une fine mousse blanche et persistante. Elle offre au nez un bouquet aromatique subtil composé de notes de céréales, d'agrumes et de fleur. En bouche, elle se révèle d'une légèreté incomparable nous transportant sur un petit nuage. Elle développe des saveurs de malt, de pain grillé et d'agrumes auxquels s'ajoute une légère amertume.
Cette blonde légère et désaltérante est un vrai délice !",https://vandb.fr/distelhauser-blonde.html
DELTA IPA,AMBRÉE,IPA,6.0,BRUSSEL BEER PROJECT,BELGIQUE,3.25,8,0,4,6,4,8,Blonde aux reflets dorés. Belle mousse blanche,Arômes de houblons. Notes d'agrumes et de résine,Saveurs de fruits tropicaux et litchi. Notes de houblons,"Réinventant le genre des IPA et sortant du chemin des bières belges classiques, la Delta IPA de la brasserie Bruxelloise BBP, a été leur première bière à voir le jour !
Dès 2013, où elle sera élue la meilleure devant 3 autres prototypes de bières (Alpha, Beta et Gamma) et par plusieurs centaines de bruxellois, la Delta IPA n'a cessé de prouver au monde entier ce dont elle était capable, au point de devenir la bière numéro 1 de la brasserie.
Une fois servie dans son verre, la Delta IPA arbore une robe blonde aux reflets dorés. Brassée avec les houblons aromatiques Citra et Smaragd qui lui confèrent au nez des arômes d'agrumes, de houblons et de notes résineuses, elle offre en bouche une véritable explosion de saveurs de fruits tropicaux et de litchi. Des notes résineuses viennent compléter la dégustation tout comme une amertume bien contrôlée.
La Delta IPA vient casser les codes et fait découvrir un nouvel aspect de la ville de Bruxelles !",https://vandb.fr/205896/delta-ipa.html
HIMBAER TONI,AMBRÉE,WEISSBIER,5.0,HOPFMEISTER,ALLEMAGNE,3.2,4,4,4,4,4,6,"Robe ambrée, trouble, mousse blanche compacte","Arômes de levures, banane, caramel, miel, framboise","Douce et onctueuse, notes de levures, caramel, banane, miel, notes florales","Avec pour envie de créer une Weizenbier avec une robe tirant sur le rouge, la brasserie allemande Hopfmeister, après la découverte d'une levure que l'équipe garde bien secrète, a décidé de nous proposer la Himbaer Toni, une Amber Wheat Ale à l'aromatique étonnante !
Avec sa robe ambrée trouble, aux reflets rougeâtres et à la mousse blanche compacte, la Himbaer Toni dévoile des arômes de levures, de banane, de caramel, de miel et de framboise. Sa bouche est douce et onctueuse avec des saveurs levurées et caramelisées. Des notes de banane, miel et florales complètent la dégustation.
Inspirée des Weizenbier traditionnelles avec des saveurs de levures et de banane, la Himbaer Toni surprend par sa fraîcheur et son aromatique sur la framboise. Une bière allemande qui casse les codes !",https://vandb.fr/himbaer-toni.html
FRANZ JOSEF,BLONDE,HELLES,5.1,HOPFMEISTER,ALLEMAGNE,3.2,6,2,4,4,4,4,"Robe blonde dorée, légèrement trouble, mousse blanche généreuse","Arômes de céréale, agrumes, fruits de la passion, groseille, notes herbacées","Fraîche et désaltérante, notes céréalières, notes d'agrumes, groseille, fruits de la passion, herbes, finale amère","Parce que pour la brasserie allemande Hopfmeister, les Lagers ""ennuyantes"" sont de l'histoire ancienne, elle a décidé de nous proposer ici la Franz Josef, une Lager non filtrée aux arômes de citron et de fruits verts !
Arborant une robe blonde dorée, légèrement trouble et surmontée d'une mousse blanche généreuse, cette lager partage au nez, des arômes de céréales, d'agrumes, de fruits de la passion, de groseille et des notes herbacées. En bouche, elle est fraîche et désaltérante. Ses saveurs céréalières, s’accompagnent de notes d'agrumes, de groseille, de fruits de la passion et emmènent vers une finale amère.
Envie de découvrir une Allemagne plus moderne, optez pour la Franz Josef et découvrez une Bavière dynamique et explosive !",https://vandb.fr/franz-josef.html
GOSE TO HOLLYWOOD,BLONDE,GOSE,3.8,TO ØL,DANEMARK,3.6,2,8,8,4,4,6,"Robe jaune pâle aux reflets dorés, mousse épaisse et durable","Arômes frais d'agrumes, de citron, un côté salin","Saveurs d'ananas, légèrement salée, une belle acidité grâce aux agrumes, les oranges amènent une pointe d'amertume","La Gose To Hollywood nous vient en direct de la brasserie To Øl située au Danemark et ouverte depuis 2010 seulement.
Chez V and B, c'est un véritable coup de cœur que nous avons eu pour cette brasserie artisanale danoise, qui fait actuellement partie des meilleures crafts du monde. Complètement déjantée, mais avec des techniques maîtrisées, elle fait preuve de justesse.
La Gose To Hollywood, elle, est une bière légère de dégustation. Avec sa robe couleur miel aux reflets dorés et sa fine mousse qui se tient, elle développe au nez, des arômes frais d'agrumes et de citron. En bouche, sa salinité très typique de la Gose est bien présente. Des saveurs d'ananas, et d'orange dominent et se lient harmonieusement avec une pointe d'amertume et une belle acidité qui amène beaucoup de fraîcheur.
Prêt pour un tête à tête avec une star ?",https://vandb.fr/gose-to-hollywood.html
EVERY DAY CARRY,NOIRE,PORTER,5.0,PIGGY BREWING,FRANCE,3.95,6,2,4,4,6,4,"Robe noire, reflets roux, fine mousse beige","Arômes de malt torréfié, pain toasté, café froid, cacao","Douce et onctueuse, notes de café, cacao, chocolat noir, légère sucrosité, finale amère","La brasserie Lorraine Piggy Brewing ne cesse de nous étonner et nous propose encore aujourd'hui une recette agréable pour le plus grand plaisir de tous !
Porter légère à seulement 6% vol, elle est brassée avec de l'avoine qui lui confère une texture crémeuse ! Surmontée d'une fine mousse beige, à la robe noire et aux reflets roux, la Every Day Carry nous fait fondre avec ses arômes de malt torréfié, de pain toasté, de café froid et de cacao ! En bouche, c'est le même plaisir que l'on retrouve avec des saveurs douces et onctueuses, ses notes de café, de cacao et de chocolat noir. Sa finale est amère et sur une légère sucrosité.
Tous les cœurs peuvent fondre de plaisir, il suffit juste de connaître leur point faible ! Et sinon; prenez une Every Day Carry, ça marche à tous les coups !",https://vandb.fr/every-day-carry.html
THIRSTY FRONTIER,BLONDE,SESSION IPA,4.5,TO ØL,DANEMARK,3.6,6,2,6,6,2,4,"Robe blonde dorée, légèrement trouble, reflets cuivrés, fines bulles","Arômes houblonnés et herbacés, notes résineuses et maltées.","Belle amertume équilibrée, saveurs de houblons et d’agrumes, notes florales et de pins.","Tu aperçois soudain une oasis au loin ! Ou est-ce un mirage ? Peu importe, tu décides d'y aller dans l'espoir d'y trouver de l'eau.
La Thirsty Frontier de la brasserie To Øl, située au Danemark, est une Session IPA légère à l'attaque sur une amertume prononcée. Dévoilant une robe blonde dorée, légèrement trouble et aux reflets cuivrés, cette bière offre des arômes houblonnés et herbacés qui se mêlent à des notes résineuses et maltées. En bouche, une belle amertume équilibrée est perceptible et laisse rapidement place aux saveurs de houblons et d’agrumes. Des notes florales et de pins viennent sublimer la dégustation.
Aujourd'hui a été le pire et le meilleur jour de ta vie. Quand tu pensais que tout était fini, que tu ne retrouverais jamais ton chemin dans cette étendue de sable et que tu as trouvé une oasis habitée ! Et le meilleur dans tout ça ? Ils avaient de la Thirsty Frontier ! On te l'aurait raconté que tu ne l'aurais pas cru...",https://vandb.fr/thirsty-frontier.html
ABBAYE DES ROCS BRUNE,BRUNE,DARK ALE,9.0,ABBAYE DES ROCS,BELGIQUE,2.7,6,2,4,8,8,4,"Robe brune, reflets rubis, mousse beige fine","Malt caramélisé, fruits noirs, épices, fumé","Caramel, épice, généreuse, ronde, puissante, torréfiée légère amertume","Brassée en Belgique par l'Abbaye des Rocs, cette bière brune à la particularité d'être issue du mélange de sept malts différents et de trois types de houblons. La complexité du brassage donne à cette bière une bouche pleine de subtilités qui s'allie parfaitement avec sa puissance. Elle est d'ailleurs considérée par beaucoup comme étant l'une des meilleures bières du monde.
Sa belle robe brune aux doux reflets rubis est surplombée une fine mousse beige. Elle dévoile un bouquet aromatique complexe composé d'arômes de malt caramélisé accompagné de notes de fruits noirs et d'épices. Des pointes fumées s'ajoutent à ce mélange d'arômes qui est un vrai plaisir pour les sens. Les saveurs caramel et épicées offrent une bouche généreuse et ronde. La densité des saveurs et le caractère toasté de cette bière permettent de camoufler le fort degré d'alcool de cette bière ainsi que sa légère amertume.
Une bière toute en complexité qui vous étonnera par ses combinaisons de saveurs.",https://vandb.fr/abbaye-des-rocs-brune.html
WINTER RESCUE,AMBRÉE,BARLEY WINE,9.0,PIGGY BREWING,FRANCE,4.4,8,4,4,8,6,6,"Robe ambrée, reflets rubis, trouble, fine mousse blanche","Arômes de malt grillé, fruits jaunes, fruits confits","Puissante et intense, notes de malt grillé, fruits jaunes, fruits confits, agrumes, finale chaleureuse et amère","Découvrez en exclusivité chez V and B, la Winter Rescue, une Barley Wine de la brasserie française Piggy Brewing située à Liverdun ! Née en 2009, cette jaune brasserie nous propose des bières toutes plus excentriques les unes que les autres et toujours accompagnées de leurs petits cochons !
Révélant une robe ambrée, trouble, et aux reflets rubis, cette Barley Wine, à la fine mousse blanche, offre au nez des arômes de malt grillé, de fruits jaunes et de fruits confits. Puissante et intense, ses saveurs de malt grillé dominent et se marient avec les touches de fruits jaunes, de fruits confits et d'agrumes. Sa finale est chaleureuse et amère.
La prochaine fois que vous avez une galère, pensez à la Winter Rescue !",https://vandb.fr/winter-rescue.html
DERNIÈRE RÉCOLTE,NOIRE,PORTER,8.2,MONT HARDI,FRANCE,3.9,6,0,4,8,8,6,"Robe noire profonde, mousse épaisse et de couleur crème","Richement maltée, des arômes de caramel, de noix grillées. Des notes toastées et de réglisse","Des saveurs intenses de malt. Un complexe mélange de malts foncés, de fruits secs et d’alcool. Une bouche onctueuse","Brassée dans la brasserie mayennaise Mont Hardi, la Dernière Récolte est l’aboutissement de l’entente entre différentes passions et cultures. Rappelant un peu les Porters anglaises et le caractère légèrement grillé d’une Scharwzbier, le parti pris sur cette Baltic Porter a aussi été d’obtenir des arômes toastés, de caramel, de noix légèrement grillées et de fruits noirs qui lui confèrent une complexité indéniable.
Cette bière robuste dévoile une robe noire soyeuse rappelant la mélasse. Elle est surmontée d’une mousse épaisse et de couleur crème qui persiste comme la «créma » d’un espresso italien servie à la perfection.
La complexité des arômes est marquée dès les premières senteurs. Richement maltée, elle tire vers le caramel, les noix légèrement grillées, le toasté et les notes de réglisse. Dès que la bière se réchauffe, il est possible de distinguer des nuances. Grâce à un brassage précis, les notes de fruits noirs et alcooleuses sont atténuées et laissent place à des arômes maltés. Des notes intenses d’un thé spécial et des noix, choisies localement et grillées maison, viennent compléter la dégustation. L’union de ces derniers représente l’œuvre maîtresse de cette bière et offre des arômes de thé torréfié avec des notes de bois, de caramel et de noix accompagnés d’un bouquet floral discret.
Comme pour les arômes, les saveurs principales sont richement maltées et accompagnées d’un complexe mélange de malts foncés, de fruits secs et d’alcool. On retrouve principalement une saveur torréfiée et onctueuse. Un peu plus surprenant, un léger côté amer et rafraichissant vient soutenir la bière en bouche et l’empêche de devenir trop lourde à cause des malts.
Ce bijou noir peut être perçu en bouche comme onctueux et avec le caractère d’une Lager noire. La Dernière Récolte se veut légèrement douce sur l’attaque mais les saveurs des malts noirs et l’amertume des houblons viennent rapidement prendre le dessus et accompagnent la dégustation jusqu’à la fin. La finale apparaît légèrement sèche et accompagnée d’un soupçon de café torréfié et de réglisse.",https://vandb.fr/derniere-recolte.html
