Nom,Type de rhum,Type de rhum précision,Degré d'alcool,Brasserie,Pays,Prix,Epicé/Boisé,Tourbé/Fumé,Fruité,Floral/Végétal,Vivacité,Sucrosité,Pâtissier,Visuel,Odeur,Goût,Ancienneté,Description,Url
RAMMSTEIN FINISH LAPHROAIG CASK 46%,AMBRÉ,RUM - TRADITION ANGLAISE,46.0,MULTIPLES,TRINITÉ ET TOBAGO,79.0,8,6,8,0,0,4,4,Acajou,"Boisé, Fumé, Fruité","Fruits, Sirupeux, Épicé , Tourbe",8,"Si on a l'impression que les opposés s'attirent sur la version originale du rhum Rammstein, cette édition spéciale et limitée, dont V and B à l'exclusivité en France, affiche un côté métal beaucoup plus affirmé.
Le groupe Rammstein a eu l'excellente idée de laisser une partie de son rhum vieillir en fûts de Whisky tourbé et fumé d'une des distilleries les plus mythiques d'Islay : Laphroaig. Un rhum ambré de caractère qui plaira aux fans du groupe de musique Rammstein !
Chez V and B on espère (toujours) que le groupe Rammstein se produira au V and B fest' dans les années à venir ! Un événement familial, en Mayenne, réunissant bons moments, goûts des bons produits et musiques éclectiques.
Fan de headbanging ? On se retrouve au prochain concert pour discuter rhum.",https://vandb.fr/rammstein-finish-laphroaig-cask-46-.html
HAMPDEN 8 ANS 46%,PAILLE,RUM - TRADITION ANGLAISE,46.0,HAMPDEN,JAMAÏQUE,59.5,6,0,10,0,6,0,0,Or profond,"Banane, Mangue, orange confite, bonbon arlequin","Phénolique, épicée (poivre rouge, girofle), gourmand, bois, cigare",8,"La plus ancienne et la plus emblématique distillerie de la Jamaïque est à l’honneur et régale ses fans avec ce premier embouteillage officiel.
Au cours de ses 265 ans d’activité, Hampden n’avait jamais commercialisé un rhum en son nom, laissant les embouteilleurs indépendants (tel que Habitation Velier) faire sa réputation.
Ce rhum de mélasse de 8 ans, vieilli intégralement dans les chais de Hampden sous les tropiques, a été élaboré selon la tradition des Pure Single Jamaican Rums. La fermentation longue à l'aide de levures naturelles, ainsi qu'une distillation en alambic typique en cuivre à double retors, sont deux facteurs essentiels à l'élaboration de ce rhum ""high ester"" (aux arômes très prononcés et concentrés). Affirmant ce caractère authentique et naturel, signature d'Hampden, il dévoilera des notes de fruits mûrs accompagnés d'épices et de notes phénoliques.
On vous aura prévenu, ça envoie du lourd.",https://vandb.fr/hampden-8-ans-46-.html
"PLANTATION FIJI 2005 50,2%",AMBRÉ,RUM - TRADITION ANGLAISE,50.2,SOUTH PACIFIC,FIDJI,77.5,8,0,6,2,6,2,2,Ambré Profond,"Cacao, Cannelle, Fruits Cuits","Gingembre, Chocolat, Épices",15,"Comme toujours Alexandre Gabriel nous surprend, encore et encore ! Cette sélection Fiji en est la preuve.
Cette destination, nouvellement venue dans le monde du rhum, commence à faire du bruit. Le tout associé à la patte magique d'Alexandre Gabriel et de ses équipes, cela donne une dégustation étonnante et une très belle découverte.
Comme à son habitude, cette cuvée de rhum n'échappe pas au double vieillissement. Cette fois-ci 14 ans en fût de ex-bourbon sur place puis 1 an en ex fût de cognac en France.
Un rhum qui nous invite au voyage et à la découverte ! Évadez vous avec ce FIJI 2005 et ses 50,2%. Les amateurs seront comblés !",https://vandb.fr/plantation-fiji-2005-50-2-.html
FOURSQUARE PLENIPOTENZIARIO 60%,AMBRÉ,RUM - TRADITION ANGLAISE,60.0,FOURSQUARE,BARBADE,139.0,6,6,10,4,6,0,4,Acajou,"Fruits exotiques, chocolat, poivre, épices","Complexe, agrumes rôtis, fumée, fraîche, épices douces",12,"Comme à son habitude Velier propose dans cette bouteille de rhum Foursquare une représentation typique et unique de la Barbade.
Avec cet assemblage de rhums dit ""lourds"" issus du pot still et de rhums dit ""légers"" issus de la colonne, le tout subtilement vieilli dans des fûts ex-bourbon pendant 12 belles années.
Ce rhum vous surprendra à la dégustation.
Un nez enjôleur de fruits exotiques, telle une mangue bien mûre, avec une belle finale grillée de caramel et de vanille apportée par la barrique.
La bouche quant à elle vous embarque à la Barbade avec son attaque pleines d'épices et de fumées et sa finale douce et florale.
Ce rhum mérite et assume totalement son nom, céderez-vous à ses pleins pouvoirs. Quoi qu'il en soit, avec 6000 exemplaires dans le monde, peu d'entre vous auront l'occasion de le déguster.",https://vandb.fr/foursquare-plenipotenziario-60-.html
"NEISSON PROFIL 107 52,8%",AMBRÉ,RHUM - TRADITION FRANÇAISE,52.8,NEISSON,FRANCE,56.0,8,4,4,0,8,0,6,Ambre profond,"caramel, pain grillé, café","Chocolat, épices douces, pain grillé, fumé",3,"Neisson est une distillerie innovante qui s'efforce de produire des rhums d'exception. Souvenez-vous du rhum blanc l'Esprit et du Rhum Le Bio de cette même distillerie Neisson. Cette fois discutons ensemble de rhums vieillis. L'innovation vient cette fois-ci du vieillissement particulier de ce rhum qui n'est pas sans rappeler celui des bourbons avec ces fûts à forte chauffe.
Dans le cas du rhum 107 le double vieillissement passe par des fûts ex-bourbon dans un premier temps, puis ensuite dans des fûts avec la chauffe secrète N°107.
En dégustation des notes grillées, toastées et boisées surprennent. Ce profil 107 est tout simplement unique !
Qui osera s'y aventurer ?",https://vandb.fr/neisson-profil-107-52-8-.html
RIVIÈRE DU MÂT XO,AMBRÉ,RHUM - TRADITION FRANÇAISE,42.0,RIVIÈRE DU MAT,FRANCE,59.0,6,0,6,4,4,4,4,Acajou,"Fleurs, Fruits, Sucre Roux","Intense, Épices, Miel de Canne",8,"Rivière du Mât est une des quatre grandes distilleries de l'île de La Reunion. Connue pour ses rhums agricoles, nous allons vous prouver que la Réunion cache d'autres merveilles.
En effet, il existe également la culture et la fabrique de rhums traditionnels, à partir de mélasse. Ce style est sur le papier en opposition au rhum agricole de pur jus de canne.
Dans le rhum traditionnel de mélasse, c'est la qualité, la fraîcheur et le vieillissement qui priment.
D'un point de vue de la dégustation, le Rivière du Mât Vieux XO est un rhum gourmand et exotique.
Adepte des rhums agricoles ? Passez le pas et dégustez ce merveilleux rhum traditionnel qui nous vient de la Réunion.",https://vandb.fr/riviere-du-mat-xo.html
CIHUATAN INDIGO 8 ANS 40%,AMBRÉ,RON - TRADITION ESPAGNOLE,40.0,LICORERA CIHUATAN,EL SALVADOR,43.9,6,0,6,0,0,8,6,Ambré,"Épicé, Agrumes","Épicé, Doux,",8,"Cihuatan tire son nom d'un site de ruines mayas proche de la distillerie.
Cette nouvelle version de la distillerie nommée Indigo est une Solera 8, la solera est une technique très ancienne de vieillissement qui consiste à assembler des rhums jeunes dans des plus vieux.
Ce qu'on pourrait résumer par :
La Solera c'est l'art d'assembler la noblesse du rhum vieux et la fougue du rhum jeune.
Cihuatan Indigo est parfait dans un parcours de dégustation lorsque l'on cherche un rhum moins sucré qui conserve une belle rondeur.
Adepte des Rons d'Amérique Latine ? Découvrez ce Ron Cihuatan Indigo 8 ans équilibré qui nous vient du Salvador.",https://vandb.fr/cihuatan-indigo-8-ans-40-.html
MEZAN CHIRIQUI 40%,AMBRÉ,RON - TRADITION ESPAGNOLE,40.0,SECRÈTE,PANAMA,37.0,6,0,6,0,6,0,10,"Ambré, reflets dorés","Fruits à coques, praline","Ample, équilibrée, bois précieux, fruits, cannelle",0,"Fraîchement arrivé dans la famille des rhums Mezan, Chiriqui vient apporter un vent de nouveauté dans la gamme.
Chiriqui est élaboré en suivantles mêmes règles que les autres rhums Mezan, à savoir sans ajout de sucre, sans agent de coloration et sans filtration à froid.
Chiriqui porte le nom de la province éponyme du Nord du Panama. Élaboré à partir de rums de mélasse du pays, ce rum est un assemblage de rums de 3 ans d'âge minimum. D'abord mâturé en fût de bourbon, son passage en fût de vin de Moscatel lui apporte de belles notes fruitées et une élégante complexité.
Facile à déguster, le nez évoque des notes fruitées et pralinées. La bouche est un bel équilibre entre notes fruitées, pâtissières et finement boisées.",https://vandb.fr/mezan-chiriqui-40-.html
DON PAPA BAROKO 40%,AMBRÉ,SPICED,40.0,BAGO,PHILIPPINES,39.95,4,0,6,0,0,10,10,Ambre profond,"Vanille, agrumes confits","Caramel, vanille, gourmand, fruité",0,"Un vent de fraîcheur a soufflé sur la marque Don Papa. Ce nouveau Don Papa Baroko s'inscrit dans une trame aromatique proche du Don Papa 7, avec un peu plus d'exubérance et un packaging toujours aussi pepsy !
D'un point de vue aromatique, Don Papa Baroko est donc un proche cousin du ""7"" avec une recette légèrement évoluée. On retrouve donc ici les marqueurs qui ont fait le succès du Don Papa 7 à savoir beaucoup de rondeur au nez comme en bouche et des arômes de vanille se mêlant aux différentes notes d'agrumes et de fruits confits.
Facile à déguster, Don Papa Baroko offre toujours cet équilibre en bouche entre rondeur et fraîcheur, qui continuera de satisfaire les amateurs de Don Papa !",https://vandb.fr/don-papa-baroko-40-.html
O REIZINHO 50%,BLANC,RHUM - TRADITION FRANÇAISE,50.0,O REIZINHO,PORTUGAL,35.9,6,0,10,8,8,2,4,Cristallin,"Agrumes, goyave, canne fraîche, poivre","Végétale, fruits de la passion, poivrée, briochée",0,"Bem vindo a Madeira !
Ici s'élabore un nectar exceptionnel qui ne décevra aucun amateur de rhum blanc.
Véritable coup de coeur de nos experts V and B à la dégustation, O Reizinho est une vraie pépite que tout bon amateur se doit de découvrir.
Un rhum artisanal de la culture des 6 variétés de canne à sucre locale jusqu'à la distillation en alambic portugais traditionnel.
O Reizinho séduit par sa palette aromatique qui révèle au nez comme en bouche des notes fruitées à tomber par terre de cannes fraîches, fruits exotiques, agrumes et poivre. La bouche est ample et gourmande et nous laisse sur une finale douce et fraîche.
Dégusté pur, en Ti'Punch ou en Mai Tai, O Reizinho vous satisfaira à coup sûr !",https://vandb.fr/o-reizinho-50-.html
BREIZ'ÎLE BANANE ANANAS 23%,PAILLE,ARRANGÉS,23.0,NON COMMUNIQUÉE,FRANCE,28.0,0,0,10,0,2,6,0,Jaune,Banane,Banane,0,"En Guadeloupe, les rhums arrangés sont monnaie courante et on les retrouve dans à peu près toutes les maisons de l'île, chaque famille ayant sa propre recette. Imaginez-les dans des Dames Jeanne, attendant gentiment qu'on vienne leur en tirer une louche en guise de gourmandise d'après repas.
Ayant derrière lui quelques années de restauration sur l'île, Alain Jegaden avait lui aussi prit l'habitude de confectionner ses rhums dans son restaurant et de les servir à ses clients. Lorsqu'il les proposa à ses clients en Bretagne dans son nouveau restaurant, il n'imaginait pas qu'il allait devoir raccrocher son tablier de cuisto pour enfiler la casquette de producteur de rhums arrangés !
Parce que les choses simples sont souvent les meilleures, ce rhum arrangé vous propose de découvrir toute la palette aromatique d'une banane bien mûre, macérée deux mois dans son rhum agricole (de Guadeloupe bien sûr !), quelques épices, un peu de caramel maison, une gousse de vanille, et c'est prêt.
Un rhum arrangé préparé et embouteillé manuellement en Bretagne Pointe.",https://vandb.fr/breiz-ile-banane-ananas-23-.html
CLÉMENT CANNE BLEUE 2019 50%,BLANC,RHUM - TRADITION FRANÇAISE,50.0,HABITATION LE SIMON,MARTINIQUE,37.9,6,0,6,10,10,0,0,Cristallin,"Végétal, menthe, herbacé","Fruits exotiques, canne fraîche, épices, floral",0,"Cocotiers, doigts de pieds en éventail, bienvenue en Martinique ! La distillerie Clément est un cadre magnifique. Si vous avez le plaisir de vous rendre sur place, vous découvrirez un magnifique parcours dans le jardin de la distillerie. Les explications sur les différentes espèces arboricoles et florales de Martinique vous seront contées.
Vous découvrirez également les énormes chais de vieillissement. Votre nez se souviendra des effluves de rhum qui s'en échappe.
Le décor étant bien planté, parlons maintenant rhum ! Clément Canne Bleue a initié la tendance des rhums blancs issus de canne à sucre mono-variétale. Il est idéal pour vos ti punch. Ses notes florales et épicées se marieront parfaitement avec le sucre de cannes et une tranche de lime. Vous vous laissez tenter ?",https://vandb.fr/clement-canne-bleue-2019-50-.html
RIVIÈRE DU MÂT GRANDE RÉSERVE VIEUX 40%,AMBRÉ,RHUM - TRADITION FRANÇAISE,40.0,RIVIÈRE DU MÂT,FRANCE,44.5,6,0,8,0,4,0,6,Acajou,"Complexe, fruits frais, tabac, pain d'épices","Fruits secs, miel, épices",5,"La canne à sucre s'épanouie ici dans un terroir volcanique sous un climat tropical.
La Maison Rivière du Mât élabore une partie de ses rhums à base de mélasse, et l'autre à partir de pur jus. Cette cuvée Grande Réserve est un rhum de mélasse vieilli au minimum 5 ans en fût de cognac. Facile à déguster, il est l'équilibre parfait entre boisé et gourmandise. La qualité du vieillissement à la cognaçaise en fait un rhum élégant et facile à déguster.
Le nez est complexe, entre notes de fruits frais, de tabac et d'épices. La bouche est gourmande sur des saveurs de fruits secs et d'épices. la finale est généreuse avec une belle longueur.",https://vandb.fr/riviere-du-mat-grande-reserve-vieux-40-.html
BOTRAN SOLERA 1893 18 ANS 40%,AMBRÉ,RON - TRADITION ESPAGNOLE,40.0,BOTRAN,GUATEMALA,49.0,6,0,2,4,0,6,8,"Ambre, reflets acajou","Vanille, caramel, tabac blond, bois de santal","Onctueuse, bois, vanille, banane flambée, figue",18,"La première distillerie de rhum au Guatemala a été fondée par la famille Botran en 1939. Déjà connus dans le pays en tant que producteur de cannes à sucres, les cinq frères de la famille se tournent vers la production de rhum en réalisant que l'altitude élevée du centre du pays est un atout idéal pour le vieillissement.
Les chais perchés à 2400 m d'altitude ont pour caractéristique de diminuer la part des anges sans pour autant perdre en échange avec le bois. Combiné à l'utilisation de divers fûts de bourbon, sherry ou porto, ce vieillissement lent développe des rhums complexes et expressifs.
Botran Solera 1893 est un blend issu des meilleurs rhums élevés au travers d'une multitude de fûts pendant 5 à 18 ans. Le vieillissement est réalisé selon la méthode ""Sistema Solera"", ce qui permet au rhum de s'imprégner des caractéristiques propres à chacun des fûts et ainsi donner de la complexité et de la richesse à ce rhum !",https://vandb.fr/botran-solera-1893-18-ans-40-.html
TI CED ARRANGÉ GWAMARÉ CITRON GINGEMBRE 32%,BLANC,ARRANGÉS,32.0,AUCUNE,FRANCE,33.0,10,0,10,10,8,6,0,"Net, brillant, nuances vertes à jaune pale","Subtil, citronné, floral","Franche, généreuse, notes d'épices, douce amertume",0,"Ti Ced sait mettre en avant les terroirs qui lui permettent de se fournir en matières premières de qualité. Gwamaré est l'abréviation de Guadeloupe (Gwada), Martinique (Madinina) et La Réunion, trois Départements d'Outre-Mer mis à l'honneur dans ce rhum arrangé ! Les rhums agricoles AOC Martinique et AOP Guadeloupe ont été habillement assemblés pour former la base de cet arrangé. Le citron galet de La Réunion et le gingembre frais soigneusement sélectionnés au Brésil viennent compléter à merveille les arômes du rhum. Un trio qui fonctionne à merveille pour un résultat explosif et intense avec de belles notes épicées !",https://vandb.fr/ti-ced-arrange-gwamare-citron-gingembre-32-.html
DIPLOMATICO SELECCION DE FAMILIA,AMBRÉ,RON - TRADITION ESPAGNOLE,43.0,DESTILERÍAS UNIDAS,VENEZUELA,49.9,8,0,6,2,2,6,8,"Ambré, vieux chêne","Miel de canne, fruits rouges, vanille, chêne","Prunes, toffee, finale ronde et persistante",0,"La célèbre marque du Venezuela Diplomatico fait évoluer sa gamme avec cette édition Seleccion de Familia exclusivement créée pour les cavistes.
Réalisé à partir de 90% de miel de canne, ce ron est vieilli en ex-fûts de bourbon et de sherry et s'inscrit dans un registre boisé et pâtissier.
Un rhum plus âgé, un peu plus sec et un peu plus complexe que le Diplomatico Reserva Exclusiva, tout en gardant la signature de la Maison.
Le nez évoque le miel de canne, les fruits rouges, la vanille et le chêne. La bouche est gourmande sur des notes de fruits à noyaux et de toffee. La finale est ronde avec une belle longueur.
Ne passez pas à côté de ce nouveau venu de la gamme Diplomatico, Seleccion de Familia, qui ne manque pas d'atouts à faire valoir !",https://vandb.fr/diplomatico-seleccion-de-familia.html
AUTHENTIC V AND B 43%,AMBRÉ,RUM - TRADITION ANGLAISE,43.0,DISTILLERIE DE PARIS,FRANCE,59.0,8,2,0,0,4,0,8,Paille claire,"Sucre brun, épices douces (girofle, curry)","Sucre brun, café, cacao, bois, girofle",0,"La distillerie de Paris n'en fini plus de faire parler d'elle. A l'origine, c'est Nicolas Julhès qui a fait le pari audacieux d’installer un alambic dans Paris intramuros, pour laisser exprimer sa créativité et faire travailler son nez des aiguisé !
A l'aide de son Alambic de marque Hosltein auquel il a ajouté quelques options ""maison"", il concocte des recettes de haute couture.
Rien n'arrête cet entrepreneur hors norme qui a d'ailleurs lancé une gamme de parfums en 2019, extraits de canne à sucre, de baie de genévrier... avis aux amateurs !
En élaborant ce rhum pour V and B, créativité et convivialité se rencontrent, pour notre plus grand plaisir ! Il révèle une belle complexité au nez, avec d'élégantes notes fruitées, florales et épicées. La bouche nous conforte dans cette même trame aromatique complexe, avec une belle tension. La finale laisse apparaître de fines notes boisées.
Ce rhum est disponible en quantité limitée.",https://vandb.fr/authentic-v-and-b-43-.html
PHRAYA GOLD 40%,AMBRÉ,RON - TRADITION ESPAGNOLE,40.0,SANGSOM,THAÏLANDE,49.9,8,0,10,0,0,6,8,Caramel,"Agrumes, vanille, fruité","Gourmand, riche, ananas frais, épices douces.",0,"La Thaïlande est prisée depuis plusieurs années par les français pour toutes ses richesses qu'elle a à offrir, entre nature luxuriante, vestiges archéologiques, plages paradisiaques, gastronomie... Ça vous parle n'est-ce pas ? Mais saviez-vous aussi qu'elle bénéficie d'un terroir propice à la culture de la canne à sucre ? Phraya a une double signification, il est à la fois le nom d'une rivière royale, mais aussi un ancien mot thaïlandais qui représentait la plus haute reconnaissance octroyée par le roi, Phraya se prononce Pra-ya et ce rhum existe depuis 2011, distillé par la Maison Snagsom, une des plus anciennes distillerie du pays (1977), installée à l'ouest de Bangkok.
Ce rhum est distillé en alambics à colonne puis est ensuite maturé en fut ex-bourbon dans un chai à proximité de lagons, qui lui offre un environnement plus tempéré que le reste de ce pays de climat tropical. Phraya est se compose de rhums maturés entre 7 et 12 ans, et cet assemblage nous conduit vers un voyage de douceur et de fruité merveilleux. Un bouquet d'épices se mêle aux fruits frais et à des notes caramélisées, miellées. Ce rhum nous offre une dernière caresse vanillée en guise de finale.
Un rhum tout aussi hospitalier que les habitants de son pays d'origine, avec une bouteille aussi majestueuse que les anciens temples thaïlandais !",https://vandb.fr/phraya-gold-40-.html
TEEDA 40%,AMBRÉ,RUM - TRADITION ANGLAISE,40.0,HELIOS,JAPON,59.0,0,6,10,4,6,0,0,Ambré,"Fruits fermentés, frais, aromatique, olive, saumure","Cannelle, touche de fumé, fruits très mûrs, iode, musc, réglisse",5,"Les rhums ont le vent en poupe, et les japonais comptent bien se faire entendre dans ce domaine ! Il faut dire qu'ils ont plus d'un argument à faire valoir. La rhumerie Helios, qui élabore également le rhum blanc Kiyomi, est à l'origine de ce Teeda. Installée sur l’archipel d'Okinawa, elle distille des cannes à sucre cultivées localement. L'activité a pris un réel essor après la deuxième guerre mondiale grâce à la consommation des GI américains friands de ce rhum local !
Teeda est élevé 5 ans ou plus dans des fûts de chênes blancs américains, à la fois neufs ou ayant contenu du bourbon.
Le nez est complexe, frais, sur des arômes de fruits fermentés et de saumure. La bouche est également complexe, entre notes épicées, fruits sur-mûris, une fraîcheur délicatement iodée. La finale nous laisse sur les épices et une délicate fumée.
Les rhums japonais sont encore peu connus du grand public mais nul doute que ça va rapidement changer avec des rhums comme celui-ci !",https://vandb.fr/teeda-40-.html
KIYOMI 40%,BLANC,RUM - TRADITION ANGLAISE,40.0,HELIOS,JAPON,39.0,4,6,10,2,6,0,0,Cristallin,"Exotique, fruité, fumé","Rond, puissant, poivré, exotique",0,"La rhumerie Helios est sortie de terre en 1961 à l'initiative de son fondateur : M. Tadashi Matsuda. Elle se situe sur l'archipel d'Okinawa, qui regroupe plusieurs îles au Sud du pays nippon. Avec, d'un côté, la mer de Chine orientale et de l'autre, l'Océan Pacifique, Okinawa est une destination prisée pour ses plages de sable blanc et sa nature luxuriante.
Initialement, l'élaboration du rhum a vu le jour pour satisfaire les soldats américains encore en faction sur l'archipel, qui n'étaient pas forcément adeptes des alcools de riz locaux !
Mais les japonais ne faisant jamais les choses ""à l’arrache"", ce rhum a acquis rapidement une notoriété importante, d'autant qu'il est réalisé à partir d'une variété locale de canne à sucre.
Au Japon, Kiyomi signifie ""beauté pure"", ce qui sonne juste de part la couleur limpide de ce rhum. Il fait également référence à l'eau de source locale utilisée pour la distillation de ce rhum et reconnue comme d'une pureté exceptionnelle.
Notre équipe de dégustation a été impressionnée par la puissance aromatique de ce rhum blanc, avec au nez un fruité de canne fraîche, mêlé à des notes étonnantes de truffes et de délicate fumée. La bouche est une explosion fruitée. La finale est suave.",https://vandb.fr/kiyomi-40-.html
LONGUETEAU PUNCH COCO 20%,BLANC,PUNCH,20.0,LONGUETEAU,FRANCE,35.9,0,0,10,0,0,8,0,Blanc lait,"Lacté, coco","Onctueuse, coco",0,"Avec plus de 20 ans de savoir-faire dans l'élaboration de punchs traditionnels, la maison Longueteau s'est fixée de nous faire découvrir des recettes toujours plus séduisantes.
Ce punch coco est le fruit d'un assemblage entre le rhum blanc agricole Longueteau 50°, du sirop de sucre de canne, du lait de coco et de la noix de coco râpée, le tout étant ensuite porté à macération durant plusieurs semaines.
Le nez évoque immédiatement la coco.
La bouche est onctueuse, crémeuse. C'est un bel équilibre entre fraîcheur et gourmandise, le sucre ayant été justement dosé.
La finale est suave, avec de subtiles notes d'amandes.
Un compagnon idéal de vos desserts ou de vos après-repas dans le canapé. Servir sur glace ou dans des verres rafraîchis au préalable.
Conservation à température ambiante. En cas d'une conservation dans une pièce fraîche ou lors d'une immobilisation longue, la coco se fige naturellement. Remuer et remettre à température pour recouvrer la texture originelle.",https://vandb.fr/188859/longueteau-punch-coco-20-.html
BOLOGNE GRANDE RÉSERVE 42%,AMBRÉ,RHUM - TRADITION FRANÇAISE,42.0,BOLOGNE,FRANCE,55.9,8,0,8,0,8,2,6,"Vieil or, reflets ambrés","Épices, cacao, vanille. Fruité dans un deuxième temps.","Discrètement boisé, pruneau, fruits sec, caramel.",4,"Ce rhum agricole Grande Réserve met en avant tout le savoir-faire de la Maison Bologne en Guadeloupe.
C’est un assemblage de rhums vieillis entre 4 et 8 ans en fûts de chêne provenant de la tonnellerie Leroi située à Cognac.
Il est en partie réalisé à partir de canne à sucre “noire” que seule la Maison Bologne cultive encore en Guadeloupe. Cela lui apporte un potentiel aromatique formidable, un “concentré” de canne !
Le nez annonce d'abord des notes boisées et épicées puis viennent les notes fruitées. La bouche est complexe et équilibrée entre saveurs de fruits secs, de caramel, de bois et d'épices. La finale nous laisse entre notes boisées et notes fruitées de la canne.",https://vandb.fr/bologne-grande-reserve-42-.html
BREIZ'ÎLE ANANAS/CITRON JAUNE 23%,PAILLE,ARRANGÉS,23.0,NON COMMUNIQUÉE,FRANCE,28.0,0,0,10,0,8,4,0,Jaune,"Ananas, citron","Ananas, citron",0,"Alain Jegaden, fondateur et gérant de la Maison Breiz'ile ne s'attendait pas en en lançant son premier rhum arrangé en 2007, à ce que le phénomène se multiplie et qu'aujourd'hui les rhums arrangés deviennent une catégorie de spiritueux à part entière.
Ce punch Ananas/citron fait partie de la gamme Tradition des rhums arrangés Breiz'île.
Magie des éléments, les morceaux de chaque fruit se répartissent dans toute la hauteur de la bouteille longiligne, l'ananas pointant vers le bas de la flasque et les rondelles de citron trônant en haut de la bouteille.
Le Breiz'île Ananas/citron révèle un très bel équilibre entre les notes tropicales de fruits mûrs de l'ananas et la fraîcheur et vivacité du citron qui donne du relief, soutenu par quelques épices subtilement dosées. On savoure en bouche une gourmandise acidulée.
Punch élaboré et embouteillé à la main de manière artisanale dans le Finistère.",https://vandb.fr/breiz-ile-ananas-citron-jaune-23-.html
BREIZ'ÎLE FRUITS ROUGES 23%,PAILLE,ARRANGÉS,23.0,NON COMMUNIQUÉE,FRANCE,28.0,0,0,10,0,2,6,0,Rouge,Fruits rouges,Fruits rouges,0,"Ayant été le premier à lancer la tendance en France avant que d'autres ne se firent pas prier longtemps pour lui emboîter le pas, Alain Jegaden savoure aujourd'hui la réussite de Breiz'île mais aussi la réussite globale du rhum arrangé en France, pour lequel les français se passionnent.
Grâce à son expérience en cuisine et fort de son tempérament d'aventurier du goût, il laisse désormais libre court à sa créativité dans son hangar/atelier où il s'est quand même gardé quelques couteaux et autres accessoires pour préparer ses recettes, de façon complètement artisanale vous l'imaginez.
Breiz'île fruits rouges vous emmène en cueillette ! Le fruité de la fraise de Plougastelle se mêle ici à la douceur de la myrtille et à l'expression acidulée de la groseille. L'accord parfait de ces trois fruits n'est pas une découverte, mais leur mariage avec la canne à sucre était à inventer. Une gourmandise acidulée à la teinte rouge et passionnée. Voilà, vous salivez ?
Les rhums arrangés Breiz'île sont fabriqués à la main, du début à la fin.",https://vandb.fr/breiz-ile-fruits-rouges-23-.html
DOORLY'S 12 ANS 40%,AMBRÉ,RUM - TRADITION ANGLAISE,40.0,FOURSQUARE,BARBADE,51.0,0,0,10,0,6,0,8,Fauve,"Fruits tropicaux, pomme caramélisées","Gourmand, mélasse, vanille, pomme, fruits tropicaux",12,"Doorly's est distillé par Foursquare, dans un alambic en partie et l'autre partie en colonne, selon les adaptations commandées par Richard lui même.
La mélasse fermentée, étonnamment, vient de Guyane, alors que la distillerie est implantée au milieu des cannes à sucre ! Mais la sucrerie est devenue distillerie. Les cannes ne peuvent donc plus être transformées sur place. Un petit point noir qui n'enlève rien à la qualité de Doorly's 12 ans !
A la dégustation, ce rhum âgé vous transportera dans la rondeur et la pâtisserie. Important : aucun sucre n'a été ajouté ! Le vieillissement dans des petits fûts de bois blanc américain apporte toute la finesse et la fraîcheur de ce rhum.
Un spiritueux, aussi qualitatif, à ce prix là, on aurait tort de s'en priver. A tester pur absolument, il n'a besoin d'aucun artifice !",https://vandb.fr/doorly-s-12-ans-40-.html
COMPAGNIE DES INDES FIJI 2010 SINGLE CASK 44%,AMBRÉ,RUM - TRADITION ANGLAISE,44.0,SOUTH PACIFIC,FIDJI,74.9,10,0,0,8,0,0,4,Vieil or,"Spectaculaire, résineux, genièvre, sciure de bois, chocolat Blanc.","Atypique, poivre de Sichuan frais, baie de Genièvre, cannelle, curry, cumin",10,"Fidji ! On peut dire que ce nom fait travailler l'imagination tant la destination est lointaine ! Savez vous qu'une seule distillerie se trouve dans l'archipel et permet la distillation des variétés de cannes locales ? Son nom : South Pacific.
Ce single cask sélectionné par V and B a connu un premier vieillissement tropical dans le Pacific puis il est rentré sur le vieux continent terminer son affinage en douceur.
Le nez est fruité et légèrement iodé. La bouche est ronde, souple, portée par de belles notes végétales et épicées. La finale s'estompe en douceur sur les épices et sur une subtile fraîcheur végétale particulièrement agréable.",https://vandb.fr/compagnie-des-indes-fiji-2010-single-cask-44-.html
"EXPLORE PANAMA 8 ANS BRUT DE FÛT 67,6%",AMBRÉ,RON - TRADITION ESPAGNOLE,67.6,DON JOSE,PANAMA,59.9,8,0,8,6,10,6,8,Ambre profond,"Puissant, vanille, épice","Attaque vive, notes pâtissières, épicées",8,"Explore by V and B, ce sont des spiritueux des 4 coins du globe sélectionnés par les cavistes VandBistes pour vous faire voyager vos papilles !
Arrivant tout droit du Panama, 4 fûts de ron ont traversé l'océan pour débarquer dans notre beau pays, parés à délivrer tous leurs arômes.
Ce ron a été sélectionné et embouteillé brut de fût, ce qui est une chose atypique et très peu répandue dans sa catégorie.
Un brut de fût doit être dégusté par petites gorgées. Si vous n'avez pas l'habitude de déguster des spiritueux à si haut degré, vous pourrez ajouter quelques gouttes d'eau d'une eau la moins minérale possible.
Le nez se révèle très généreux en gourmandise avec beaucoup de saveurs pâtissières auxquelles se mêlent des notes d'épices. La bouche est tendue, puissante et équilibrée entre de belles notes fruitées, boisées et épicées. La finale nous laisse sur des notes d'épices douces dans une longueur remarquable.",https://vandb.fr/explore-panama-8-ans-brut-de-fut-67-6-.html
