Nom,Type de vin,Type de vin précision,Degré d'alcool,Brasserie,Pays,Prix,Fruité,Vivacité,Puissance,Epicé/boisé,Visuel,Odeur,Goût,Accompagnements,Description,Url
VIN MOUSSEUX DE QUALITÉ GAMAYSCO DOMAINE DES NUGUES,BLANC,BEAUJOLAIS,12.0,DOMAINES DES NUGUES,FRANCE,6.72,8,6,2,0,"or, reflets brillants","Mirabelles, pèches blanches, abricot","Fraiche, gourmande, bulles fines","Apéro, Dessert fruité, Fruits frais","Depuis 1976, le domaine des Nugues appartient à la famille Gelin. La famille perdure la passion viticole de génération en génération. L'actuel vigneron, Gilles Gelin a repris la suite de son père en 2010 avec sa femme Magali. Il partage tous les deux, en famille, l'amour de la vigne.
Cité par un grand nombre de guides de vin, le domaine des Nugues est de plus en plus reconnu parmi les vignobles bourguignons. Depuis 2018 il est passé en agriculture raisonnée.
Ici nous vous proposons leur mousseux 100% gamay. Aux fines bulles, ses arômes de fruits à noyau tel que la pèche blanche et l'abricot le rendent gourmand en bouche avec une véritable fraicheur. Il ravira vos soirées ou vos apéros.",https://vandb.fr/vin-mousseux-de-qualite-gamaysco-domaine-des-nugues.html
L'OEUVRE DE PERRAUD MACON VILLAGES BLANC 2019,BLANC,MÂCON VILLAGE,12.5,DOMAINE PERRAUD,FRANCE,12.8,6,6,6,0,"Robe or blanc, reflets dorés","Pêche, fleurs blanches,","Franc, rond, fringuant","Fromages, Crustacés, Fruits de mer, Poisson","Jean Christophe Perraud créé le domaine en 2005, sur les parcelles familiales qui se transmettent depuis 4 générations. Ce vigneron passionné plus conduit ses parcelles en agriculture de plus en plus raisonnée et a pour projet une conversion au bio dans les années à venir.
Oubliez les étiquettes convenues et bien léchées, Jean-Christophe s'est inspiré de son nom, pour vous raconter une histoire a travers son vin. Dans sa cuvée ""Le loup"", le Chardonnay s'exprime sur la minéralité, les fruits blancs et la vivacité. Un vin qui garde tout de même une certaine rondeur et un côté fumé, parfait pour accompagner les produits de la mer ou les fromages.",https://vandb.fr/l-oeuvre-de-perraud-macon-villages-blanc-2019.html
MARC PORTAZ ROUSSETTE DE SAVOIE BLANC 2019,BLANC,ROUSSETTE DE SAVOIE,12.5,MARC PORTAZ,FRANCE,9.2,8,6,6,0,"Jaune clair, reflets dorés","Cire d'abeille, amande, bergamote","Gras, complexe, racé","Crustacés, Fromages, Viande blanche, Poisson","Souvent associés à la raclette ou à la tartiflette, les vins de Savoie ne sont plus relégués qu’aux stations de ski puisque l’appellation produit aussi de grands vins. Ce vignoble voisin du Rhône est de plus en plus populaires autant en France qu'au delà de nos frontières.
On le comprend aisément avec l'AOC Roussette de Savoie de Marc Portaz, œnologue qui a fait ses armes en Nouvelle Zélande et en Californie avant de s'installer en 2000 au pied du Mont Garnier. Une cuvée issue du cépage Altesse, qui donne des vins au beau potentiel : structurés & amples. Ses riches arômes de fleurs blanches et de vanille s'accordent aussi bien avec du poisson, des viandes blanches à la crème ou des escargots.",https://vandb.fr/marc-portaz-roussette-de-savoie-blanc-2019.html
AOP PESSAC LÉOGNAN ROUGE CHÂTEAU LA LOUVIÈRE 2014,ROUGE,GRAVES,12.0,ANDRÉ LURTON,FRANCE,16.2,2,4,6,2,"Rouge rubis, reflets violacés","Fruits rouges, poivron vert, pain grillé","Ample, souple, charnu","Viande rouge, Desserts chocolatés, Viande blanche, Fromage de chèvre","Le Château La Louvière parlera aux amateurs de vin. Ce Pessac Léognan est l'un des plus fameux de l'appellation, un vin renommé d'une appellation prestigieuse bordelaise. Nous avons ici un grand vin de garde.
Ce domaine chargé d'histoire appartient aux vignobles André Lurton, une famille emblématique de la région bordelaise qui possède certains des plus beaux domaines viticoles de la région.
Un très joli vin, où l'on retrouve en majorité le Cabernet Sauvignon mais aussi le Merlot, deux cépages typiques de Bordeaux. Un vin puissant, racé, taillé pour la garde et déjà prêt à être dégusté dès aujourd'hui ou dans les années qui viennent. Bonne dégustation",https://vandb.fr/aop-pessac-leognan-rouge-chateau-la-louviere-2014.html
DOMAINE SAINT NICOLAS SOL'AIR VIN DE FRANCE ROSÉ 2018,ROSÉ,NON RENSEIGNÉ,10.0,DOMAINE SAINT NICOLAS,FRANCE,9.66,8,6,2,0,"Rouge grenade, reflet clairs","Fruits rouges compotés, épices,","Gourmande, fruitée, délicate","Dessert fruité, Fruits frais, Chocolat noir","Le domaine Saint-Nicolas est un OVNI du monde viticole, une réputation acquise grâce à des vins de hauts vols dans une région plus connue pour ses plages et ses touristes, la Vendée.
Ce Sol'air est un rosé liquoreux, issu à 100% du Pinot Noir. On a ici un vin rare. C'est un rosé de gastronomie, à mettre entre les mains d'amateurs avertis mais aussi de gourmands. On retrouve ici tout ce qu'il faut pour une belle découverte viticole, un vin issu de vigne en biodynamie, d'un grand domaine de la Loire, un vin qui surprendra bon nombre d'entre vous. Nous l'avons comparé à de grands blancs liquoreux, et pour notre part nous sommes juste bluffés !
Servi sur des desserts aux fruits frais, vous allez vous régaler !
Sous le sunlight des barriques...",https://vandb.fr/domaine-saint-nicolas-sol-air-vin-de-france-rose-2018.html
MAS DU CHÊNE MARCHE ARRIÈRE PAYS DU GARD ROUGE 2017,ROUGE,COSTIÈRES DE NÎMES,12.5,MAS DU CHENE,FRANCE,6.54,8,0,6,4,"Rouge grenat, reflet foncés","Fruits rouges, mûrs, poivre","Fraiche, fruitée, souple","Viande rouge, Viande blanche, Apéro","Marche arrière, c'est un retour à la base du vin. Un vin élaboré sans pesticides ni herbicides et en vendanges manuelles. Un monocépage de Carignan, dans le respect de la matière première, des sols, c'est l'assurance d'avoir un vin respectueux de l'environnement, de votre santé mais surtout de votre plaisir.
Un vin rustique ? Pas du tout ! Une bouche fraiche, agréable et tout en finesse est au rendez-vous ! La robe est brillante et pleine d'éclat, les arômes de fruits rouges explosent et les tanins sont parfaitement fondus. On en reprendrait, à l'apéritif ou sur un plat de viande en sauce.
Revenir en arrière, pour mieux anticiper demain.",https://vandb.fr/mas-du-chene-marche-arriere-pays-du-gard-rouge-2017.html
SAINT EMILION GRAND CRU TOUZINAT PRIEURÉ 2018,ROUGE,SAINT EMILION GRAND CRU,14.5,VIGNOBLES INVINDIA,FRANCE,24.9,6,4,8,6,Rubis soutenu,"Moka, fruits noirs","Structuré, frais et gourmand","Viande rouge, Agneau, Gibier","Saint-Émilion vous connaissez ? Cette petite commune, classée au patrimoine mondial de l'UNESCO est aussi le chef-lieu de l'appellation du même nom connu dans le monde entier. Des centaines de milliers de touristes viennent chaque année visiter cette cité médiévale qui compte moins de 2000 habitants. Le patrimoine historique et viticole fait la renommée de ce lieu emblématique et porte étendard de la viticulture bordelaise.
Ce vin Touzinat Prieuré est issu d'une propriété de 8 ha implanté sur un terroir argileux profond où les Merlot du domaine ainsi qu'un petit peu de Cabernet Franc s'épanouissent. Situé sur la commune de St Pey D'Armens, ce domaine certifié HVE a proscrit l'emploi de désherbant et mets tout en œuvre pour une viticulture plus verte.
Cette appellation est connue pour ses grands vins de garde, celui-ci n'échappe pas à la règle. Mais grâce à un élevage assez doux, c'est à dire qu'il n'a pas été réalisé en totalité sur des barriques neuves, ainsi que son assemblage à dominante de Merlot permet à ce vin d'être dégusté dès aujourd'hui mais se bonifiera après quelques années en cave.",https://vandb.fr/saint-emilion-grand-cru-touzinat-prieure-2018.html
FAMILLE JOUFFREAU MONTRE TON CRU CLOS DE GAMOT CAHORS 2018,ROUGE,CAHORS,14.5,CLOS DE GAMOT,FRANCE,8.5,10,4,8,4,"Rouge profond, reflets violets","Fruits noirs, cassis, floral","Fraiche, ample, tanins fins","Charcuterie, Fromage à pate cuite, Viande rouge, Tapas","""Montre ton Cru"" met en avant nos riches terroirs français. : un savoir-faire, un lieu, un raisin. Montre ton Cru ce sont des vins vrais, à la « gueule de l'endroit et aux tripes du vigneron qui les a fait ». C’est à la famille Jouffreau, vigneronne depuis 1610 que l’on doit ce vin de Cahors, 100% malbec, issu d’une parcelle du Clos de Gamot. Situés sur le relief tourmenté et ensoleillé du Lot, les vins de Cahors, surnommés vins noirs, dévoilent leur caractère généreux et leur authenticité.
LE vin pour vos moments de convivialité, simples et de partage. Ce vin porté sur les fruits est une superbe occasion pour découvrir la région de Cahors.",https://vandb.fr/famille-jouffreau-montre-ton-cru-clos-de-gamot-cahors-2018.html
COTES DU JURA CHARDONNAY FLORAL FRUITIÈRE VINICOLE DE VOITEUR 2018,BLANC,JURA,13.0,LES CAVES DU VIEUX MONT,FRANCE,10.7,8,6,2,2,"Jaune clair, reflets argenté","Fleures blanches, fruits blancs, miel","Fraîche, minérale, élancée","Poisson, Apéro, Crustacés","Le vignoble du Jura situé en Franche Comté, entre la Bourgogne et la Suisse est une pépite à elle seule ! Avec un terroir riche, le vignoble jurassien offre une diversité incroyable de vins. Datant de l’antiquité, ses 20 000 hectares rassemblent environ 200 exploitations viticoles, riches de savoir-faire et amoureuses de leur région.
La Fruitière Vinicole de Voiteur a été créée en 1957, elle est installée au pied du rocher de Château-Chalon. La surface exploitée est de 70 Hectares, répartie en Château-Chalon, Crémant, Macvin, Côtes du Jura Blanc, Rosé, Rouge, Vin Jaune et Vin de Paille. Ce superbe Chardonnay est un véritable plaisir en bouche…",https://vandb.fr/cotes-du-jura-chardonnay-floral-fruitiere-vinicole-de-voiteur-2018.html
HAUT-MEYREAU NU COMME UN VERRE 2019,ROUGE,SANS IG,14.0,VIGNOBLES INVINDIA,FRANCE,7.0,8,2,4,0,Pourpre soutenu,Fruit mûrs légèrement épicés,"Légère impression de sucrosité, solaire et charnu",,"Le vin peut être parfois considéré comme élitiste, le moins que l'on puisse dire c'est que cette cuvée bouscule et fait voler en éclats les codes.
Haut-Meyreau nous montre ici son savoir-faire et sa diversité dans ces vins, capable de faire de grands bordeaux de garde et d'autres, comme le vin rouge ""nu comme un verre"", qui respirent le fruit et la convivialité. Le raisin se met à nu et fait exploser tout le fruit du merlot. Fruité et rond, il est le compagnon parfait pour des repas simples et conviviaux.
Une bouteille qui vous fera enlever tous vos préjugés sur le vin et même peut-être vos vêtements, qui sait...
Un vin qui n'a rien à cacher ! Vous savez tout !",https://vandb.fr/haut-meyreau-nu-comme-un-verre-2019.html
ECHAPPÉE GOURMANDE SYRAH ROUGE 2019,ROUGE,CÔTES DE THONGUE,13.0,L'ARJOLLE,FRANCE,6.75,8,4,4,0,"Rouge pourpre, reflets violets","Coulis fruits noirs, violette, poivre gris","Riche, rond, suave","Viande rouge, Agneau, Charcuterie, Tapas, Barbecue","Cépage roi de la vallée du Rhône, la syrah est une grande voyageuse. Elle est aussi à l'aise dans le Languedoc qu'en Australie, en Afrique du Sud ou en Californie. A l'origine d'appellations prestigieuses comme Châteauneuf du Pape, Côte-Rôtie ou Saint-Joseph, la syrah a connu un bond de popularité dans les années 80 et s'est imposée comme un cépage universel.
La syrah se plait bien sûr les marnes du domaine de l'Arjolle, face à la mer Méditerranée. Son aromatique est surtout dominé par les fruits rouges et noirs, la violette et les épices. Une version plus ensoleillée que dans son Rhône natal, qui fera un super compagnon pour la charcuterie, les grillades et les tapas.",https://vandb.fr/echappee-gourmande-syrah-rouge-2019.html
MOET ET CHANDON RÉSERVE IMPÉRIAL BRUT,EFFERVESCENT BLANC,CHAMPAGNE,12.0,MOET ET CHANDON,FRANCE,39.9,8,10,4,2,"Jaune or paille, reflets dorés","Fruits à chair blanche, agrumes, tilleul","Savoureuse, Croquante, Fraiche","Viande blanche, Poisson, Desserts chocolatés","Moët & Chandon, grande maison champenoise fondée en 1743, est reconnue dans le monde entier.
Cette maison a été fondée au XVIIIème siècle par le négociant en vin Claude Moët, à Epernay, ville emblématique des grands Champagnes. La propriété dans laquelle est établie Moët & Chandon était autrefois la propriété d’ un écrivain qui a connu Voltaire et d'autre artistes historiques. Maison familiale détenue aujourd’hui par LVMH, elle est symbole de luxe, de qualité et de prestige !
Avec des vignobles situés dans la Montagne de Reims, la Côte des Blancs, la Vallée de la Marne, Sézanne et Aube, Moët & Chandon a accès au plus grand nombre de crus.",https://vandb.fr/moet-et-chandon-reserve-imperial-brut.html
CAVE DE GAN 1949 JURANÇON DOUX 2019,BLANC MOELLEUX,JURANÇON,12.0,CAVE DE GAN,FRANCE,9.5,10,6,6,0,"Or jaune, reflets dorés","Miel, ananas, pêche","Moelleux, gourmand, puissant","Foie gras, Dessert fruité, Fromage à pate persillée","L'AOC Jurançon ne concerne que la réalisation de vins blancs secs ou moelleux, bien que ce sont ces moelleux qui font la renommée de la région. Vin royal, qui a baptisé Henri IV, cette noblesse se retrouve aussi dans cette magnifique couleur or de ces vins doux. Et la cave de Gan-Jurançon est la cave coopérative phare de la région. C'est une experte dans la réalisation de ce nectar doré, plus de la moitié des bouteilles qui sortent de cette cave sont pleine de ce vin à la couleur étincelante.
Cette cuvée 1949 est réalisé exclusivement pour vous, VandBistes. Cette date n'est pas choisi au hasard puisque 1949 rend hommage à la création de la cave de Gan, dont est issu cette cuvée.
En bouteille on y retrouve tout ce qui fait le charme des Jurançons, le gros Menseng et le petit Menseng, cépages phares et si complémentaires, gourmandise, plaisir et une belle longueur. C'est le compagnon parfait pour vos tables de fêtes !",https://vandb.fr/cave-de-gan-1949-jurancon-doux-2019.html
CAVE DU ROI DAGOBERT RIESLING TRADITION BLANC 2019,BLANC,ALSACE,13.0,CAVE DU ROI DAGOBERT,FRANCE,8.5,8,8,6,0,"Jane clair,reflets verts","Citron confit, tilleul, pêche de vigne","Long, minéral, croquant","Viande blanche, Crustacés, Fruits de mer, Poisson grillé","Partez à la découverte des vins d'Alsace avec la Cave du Roi Dagobert. C'est en 1952 que les vignerons se regroupent pour supporter la dure période d'après guerre et fonder leur cave coopérative. Aujourd'hui, la Cave du Roi Dagobert est un acteur majeur de la région.
L'Alsace est un des plus petits vignobles de France, mais aussi un de ceux avec la plus forte diversité. L'Alsace est située sur une faille géologique datant d'il y a plusieurs millions d'années. Un affaissement des sols qui a créé toute une mosaïque de terroirs différents et des vins qui ont aujourd'hui plusieurs facettes. Si la région est réputée pour ses vins sucrés et exubérants, il ne faut pas oublier ses beaux vins blancs sur la minéralité et la droiture.
Ample et d'une grande finesse, le Riesling est un cépage délicat qui développe des arômes d'agrumes, de pêche et de fleurs blanches. Véritable éponge à terroir, il est extrêmement intéressant pour ses arômes minéraux de pierre à fusil et de silex qui vont varier selon la géologie de la parcelle.",https://vandb.fr/cave-du-roi-dagobert-riesling-tradition-blanc-2019.html
VIGNOBLES BARDET SAINT EMILION BY THE SHELBY COMPANY 2019,ROUGE,SAINT EMILION,13.5,VIGNOBLES BARDET,FRANCE,24.95,6,2,6,8,"Rouge sombre et intense, comme le regard de Thomas","Cassis et fruits noirs, sucrosité","Explosion de fruits, soyeux comme Polly",,"Le vignoble Gabarier situé le long de la Dordogne était autrefois transporteur pour acheminer les vins du bordelais.Il était évident qu’un tel point commun avec le clan Shelby, the Shelby Company, amène la famille Bardet à proposer LE vin officiel de la série Peaky Blinders.
A l'origine gabarier au 18ème siècle, l’ancêtre de la famille Bardet achemine les vins bordelais jusqu’au port de Saint Emilion. Passionné de vins, il acquiert ses premiers hectares dans ce qui sera l’AOP Saint Emilion. Innovation et respect environnemental caractérisent cette 9ème génération de vignerons.
En attendant la suite de la saison faites-vous plaisir avec ce vin rouge corsé et boisé.",https://vandb.fr/vignobles-bardet-saint-emilion-by-the-shelby-company-2019.html
TUTELA ROSÉ PROSECCO,EFFERVESCENT ROSÉ,ITALIE,11.0,AUCUN,ITALIE,7.5,6,8,6,0,Robe jaune pâle,"Poire, Pomme verte, Agrumes","Bulle fine, Vif,","Tarte sucrée, Apéro, Glace et sorbet, Dessert fruité","Le Prosecco est en Italie ce que le champagne est en France ! Plus informel, ce dernier peut accompagner tous vos moments de plaisir, du repas simple aux grandes nouvelles.
Le Prosecco Tutela vient de la province de Trévise, proche de Venise, le terroir le plus réputé pour la qualité de ses vins ! Disponible uniquement chez V and B, ce spumante (vin effervescent) servit bien frais donnera un coup de fouet à vos papilles en apéritif.
À consommer rapidement et à servir frais.",https://vandb.fr/tutela-rose-prosecco.html
DOMAINE LES EMINADES VIEILLES CANAILLES ROUGE 2017,ROUGE,SAINT CHINIAN,14.5,LES EMINADES,FRANCE,29.9,6,4,8,0,"Rouge grenat, reflets violines","Fruits rouges cuits, pétales de fleurs séchées, cacao","Gourmande, opulente, savoureuse","Viande rouge, Viande blanche, Agneau","Saint-Chinian, au nord-Ouest de Béziers, est une région viticole relativement jeune, l'AOC datant de 1982. Deux terroirs très distincts composent cette appellation.
Le domaine des Eminades est situé sur la partie sud de l'AOC Saint-Chinian. Ce domaine, dirigé depuis 2002 par un couple de passionnés qui est tombé sous le charme de ce domaine et de son terroir, a été très rapidement converti à l'agriculture biologique. Loin des diktats du marketing inhérent aux vins du Languedoc, ce domaine a à cœur de réaliser du vin qui doit, avant tout, plaire à ses deux vignerons, pour avoir des cuvées qui leur ressemble.
Cette cuvée Pierre Plantée est la cuvée plaisir et fruit des Eminades. C'est un vin de partage, marqué par le soleil languedocien et le terroir de Saint-Chinian où le bois y est totalement absent afin de laisser s'exprimer le raisin. Plein de générosité, on vous conseille ce vin lors de vos barbecues d'été.",https://vandb.fr/domaine-les-eminades-vieilles-canailles-rouge-2017.html
LA DAME DE ONZE HEURES SAINT EMILION GRAND CRU 2018,ROUGE,SAINT EMILION GRAND CRU,13.5,LA DAME DE 11 HEURE,FRANCE,39.9,8,6,8,4,"Rouge grenat, reflets violines","Fruits noirs juste cueillis, boisé discret","Élégance, tanins polis, plein",,"Produit par Vincent et Béatrice Rapin, lui ancien bassiste aux côtés des plus grands rockeurs, elle ancienne architecte, ils sont aujourd’hui producteurs de deux hectares en Saint Emilion Grand Cru, en agriculture biologique.
Le nom de ce vin fait référence à une fleur qui pousse au milieu de ces vignes et qui a la particularité de s’ouvrir à 11h, on l'appelle, la dame de onze heures.
La Famille Rapin a pour philosophie « un maximum de travail dans les vignes, un minimum dans le chai ». L’élevage de ce vin se fait dans des Jarres en terre cuite provenant de Florence. Rouge grenat avec un nez aux fruits noirs juste cueillis, un boisé discret et une bouche élégante, pleine et de jolis tanins polis, ce vin ou plutôt cette dame est fabuleuse !
Nous vous en avons déjà trop dit…n’attendez plus pour faire connaissance !",https://vandb.fr/la-dame-de-onze-heures-saint-emilion-grand-cru-2018.html
VEUVE CLICQUOT RÉSERVE CUVÉE BRUT,EFFERVESCENT BLANC,CHAMPAGNE,12.0,VEUVE CLICQUOT,FRANCE,42.9,8,8,6,0,"Jaune or, reflets dorés","Fruité, vanille, brioche","Fraîche, aromatique, pure","Fruits de mer, Apéro, Tartare de saumon","Veuve Clicquot rime avec audace et intelligence !
En 1772, la maison de Champagne Clicquot est créée par Philippe Clicquot. Ils seront les premiers à obtenir le droit de produire du Champagne rosé en 1775. Le fils, François hérite de l’entreprise, en 1805, il meurt prématurément et c’est alors sa femme, née Nicole Ponsardin, qui prend la gestion de la prestigieuse maison.
A l’heure où les femmes n’ont pas leur place dans le monde des affaires, Madame Clicquot ose et dirige la maison avec détermination. Appelée « la grande dame de la Champagne » a fait du Champagne Veuve Clicquot une marque d’excellence à travers le monde entier.
Un champagne aux notes fruitées vanillées et briochées. Il vous apportera une fraîcheur en bouche, vous succomberez...",https://vandb.fr/veuve-clicquot-reserve-cuvee-brut.html
CHÂTEAU CLOS DU MOULIN SAINT ESTÈPHE 2016,ROUGE,SAINT ESTÈPHE,13.5,CHÂTEAU CLOS DU MOULIN,FRANCE,21.9,8,4,8,6,"Rouge rubis, reflets bruns","Epicé, fruité, boisé","Riche, puissante, veloutée",,"Le Château clos du moulin est situé sur une des plus belles appellations médocaines, Sainte Estèphe. Représentant 8 hectares de vignes, son nom lui vient de son emplacement. Les vignes poussent sur des parcelles entourées par un mur et où se trouve, au milieu, un moulin.
Cette prestigieuse appellation est celle parmi les appellations médocaines communales, la plus septentrionale. Elle dispose d’un sol très riche qui lui offre des vins de caractère, charpentés, puissants se mêlant à une incroyable finesse. Depuis des années, Saint Estèphe a su asseoir une véritable réputation de prestige.
Le château clos du Moulin en est une preuve incontestable. Au nez épicé, fruité et équilibré, il offre une bouche riche et une finale aux tanins veloutés.",https://vandb.fr/chateau-clos-du-moulin-saint-estephe-2016.html
AOP CHAMPAGNE TAITTINGER CUVÉE PRESTIGE BRUT,EFFERVESCENT BLANC,CHAMPAGNE,12.5,TAITTINGER,FRANCE,36.9,8,10,6,0,"Jaune or paille, reflets dorés","Fruité, brioché, fleurs blanches","Fraîche, mielleuse, vive","Viande blanche, Fruits de mer, Desserts chocolatés","Depuis presque un siècle, une famille perdure à hisser ses Champagnes aux côtés des plus grands, la famille Taittinger ! Proche des valeurs et traditions champenoises, elle cherche toujours à atteindre l’excellence. « Avoir le nom de notre famille sur une bouteille impose une responsabilité et une exigence de chaque instant. Cette signature porte à la fois le savoir-faire du passé et l’engagement pour demain ». Pierre⁠-⁠Emmanuel Taittinger, président de la maison Taittinger partage cet engagement avec son fils Clovis et sa fille Vitalie dans la direction de la Maison.
La cuvée Prestige témoigne de leur excellence, subtile et intense. En famille ou en amoureux, ce Champagne vous réjouira encore plus pour vos moments heureux.",https://vandb.fr/aop-champagne-taittinger-cuvee-prestige-brut.html
AOP CRÉMANT DE LOIRE BLANC BRUT DOMAINE STE ANNE,EFFERVESCENT BLANC,LOIRE,12.0,DOMAINE SAINTE ANNE,FRANCE,8.5,6,8,4,0,"Jaune pâle, reflets verts","Agrumes frais, croquant","Bulles fines, mousse onctueuse","Apéro, Dessert fruité, Desserts chocolatés","Au cœur de l’Aubance, à Saint Saturnin sur Loire dans la Vallée de la Loire, près d’Angers, depuis 6 générations le vignoble familiale Sainte Anne perdure la passion de l’élevage et de la vinification de la vigne. Avec objectif de créer des vins à l’image de leur riche terroir.
Les crémant de la Vallée de la Loire ont su s’imposer comme de superbes vins effervescents. Grace à une vendange manuelle, la qualité et les arômes du Chardonnay et Pinot Noir ont été respectés et préservés.
Ce brut aux bulles fines et légères accompagnera très bien vos apéritif, dessert et grandes occasions.",https://vandb.fr/aop-cremant-de-loire-blanc-brut-domaine-ste-anne.html
CHÂTEAUX DE NOUVELLES MUSCAT DE NOËL 2020,BLANC,MUSCAT DE RIVESALTES,15.5,CHÂTEAUX DE NOUVELLES,FRANCE,9.95,10,2,4,0,"Jaune or, reflets dorés","Raisins confits, cire d'abeille, ananas","Enveloppé, généreuse, douce","Viande blanche, Poisson, Foie gras, Fromage de chèvre","Mais qu’est-ce que le « Muscat de Noël » ? Un conte de Noël ou presque… Issue du Languedoc, ce vin était servi à la cour royale de Barcelone à l’occasion des fêtes de Nativité. Ensuite, ce sont les vignerons qui ont adopté cette tradition. Ils mettaient de côté une petite partie de leur récolte pour la consommer en famille pour Noël. Désireux de faire partager cette tradition régionale, ils l’ont alors fait connaître à tous.
Aujourd’hui, le muscat de Noël habille toutes les tables de Noël. Son cépage, le muscat offre à ce vin doux, une superbe couleur or, une bouche généreuse et douce quoi de mieux pour savourer les fêtes de fin d’années ? Un peu de soleil en plein hiver.",https://vandb.fr/chateaux-de-nouvelles-muscat-de-noel-2020.html
DOMAINE DU MARQUISON BEAUJOLAIS NOUVEAU 2020,ROUGE,BEAUJOLAIS PRIMEUR,12.5,DOMAINE DU MARQUISON,FRANCE,5.9,10,6,2,0,"Rouge rubis, reflets violines","Petits fruits rouges, bonbons anglais","Coulant, facile, frais",,"L'histoire du Beaujolais nouveau est maintenant connue, depuis 1951, tous les 3ème jeudi de Novembre on célèbre ce vin primeur. Ces vins primeurs sont les premiers vins de l'année à être commercialisé, seulement deux-trois mois après les vendanges. Des vins à déguster jeunes, qui vous livrent un fruité très gourmand qui sont une belle occasion de fêter l'amitié.
Au fil des années le Beaujolais est devenu un temps fort du calendrier des bons vivants en France et à travers le monde, comme au Japon , où un tiers du Beaujolais nouveau est exporté. Un SPA s'est même spécialisé dans les bains dans ce primeur rhodanien.
Assez parlé, on trinque ?",https://vandb.fr/domaine-du-marquison-beaujolais-nouveau-2020.html
DOMAINE STRIFFLING MORGON 2016,ROUGE,MORGON,13.0,DOMAINE STRIFFLING,FRANCE,11.1,6,6,6,0,"Robe pourpre cerise, reflets violets","Fruits rouges frais, épices, précis","Élégant, enveloppé, tanins fins et ronds","Viande rouge, Gibier, Barbecue, Ribs","Vignoble familial depuis 1678, le domaine Striffling est aujourd’hui conduit en approche biodynamique, dans le respect des sols, de la vigne et pour une grande qualité du vin. Guillaume Striffling, qui a repris le vignoble en 2012 s'inspire avec bon sens de l'agriculture bio et biodynamique et s'il n'a pas le label, sa philosophie nous a séduit.
L'AOP Morgon produit sur le terroir du “Grand Cras” est un vin structuré et puissant, aux notes de fruits frais et aux tanins charnus. Un vin rouge sublime sur des viandes grillées au barbecue !",https://vandb.fr/domaine-striffling-morgon-2016.html
GARGALOU MOELLEUX SLEEVE 2019,BLANC MOELLEUX,CÔTES DE GASCOGNE,11.5,DOMAINE PÉRRÉOU,FRANCE,8.95,8,6,4,0,"Robe jaune or, reflets dorés","Fruits séchés, raisin de Corinthe, pêche confite","Douce, onctueuse, équilibrée","Apéro, Dessert fruité, Desserts chocolatés, Dessert au café, Dessert aux fruits secs","Vous cherchez un vin de fête à partager avec vos proches ? Le Gargalou moelleux sleeve est fait pour vous !
Ce vin à l’allure festive vous garantit des moments de partage inoubliables. Il porte un nom qui le désigne on ne peut mieux : Gargalou, qui veut dire en occitan « vin de copains ».
Idéal en apéritif ou encore avec une bûche de Noël. Un moelleux gourmand, fruité et onctueux aux notes de fruits séchés et de pêche confite. Attendez-vous à une superbe douceur en bouche de la part de ce Côtes de Gascogne en 100% manseng.",https://vandb.fr/gargalou-moelleux-sleeve-2019.html
CAVE DU ROI DAGOBERT GEWUTRAMINER VENDANGES TARDIVES 2017,BLANC MOELLEUX,ALSACE,13.5,CAVE DU ROI DAGOBERT,FRANCE,29.1,8,6,8,0,"Jaune intense, reflets or","Ecorce d'orange, rose, fruits exotiques","Fraîche, gourmande, équilibrée","Foie gras, Fromage à pate cuite, Desserts chocolatés","Acteur majeur de la viticulture alsacienne, la cave du Roi Dagobert représente 250 viticulteurs. Elle tient son nom de sa situation géographique, bordant l’emplacement d’un ancien palais mérovingien riche en histoire. Ce fameux palais, à Kirchheim a reçu le Roi Dagobert II et sa cour au VIIème siècle. Très lié aux vins puisque quatre fermes viticoles, situées autour, approvisionnaient le palais royal du Roi Dagobert II.
Le Gewürztraminer est un cépage emblématique de l’Alsace. Bien que présent dans d’autres régions du monde, c’est en Alsace qu’il se révèle le mieux. Ce vendanges tardives sera un complice idéal pour vos festivités.",https://vandb.fr/cave-du-roi-dagobert-gewutraminer-vendanges-tardives-2017.html
DOMAINE CAZES VIN NOUVEAU NATURE ROUGE 2020,ROUGE,SANS IG,13.0,DOMAINE CAZES,FRANCE,7.5,10,4,2,0,"Rouge pourpre, reflets violines","Fruits noirs ensoleillés, épices douces, olives","Velouté, coulant, ensoleillé","Viande blanche, Charcuterie, Apéro, Barbecue","Une cuvée née d'une collaboration entre V and B et la maison Cazes ! Leurs vins travaillés en bio et biodynamie nous ont rappelés la légende de l’âne de St Martin que l’on retrouve sur l’étiquette. Il y a très longtemps, Martin accompagné de son âne allait de monastères en monastères. L'âne, très gourmand raffolait des ceps de vignes qui poussaient autour des battisses. C'est en revenant sur ses pas, une fois l'automne arrivé qu'il se rendit compte que les pieds de vignes ainsi ""taillés"" par son âne avaient donné un raisin de bien meilleure qualité. C'est ainsi que St Martin comprit tout l’intérêt de la taille de la vigne et l'aurait enseignée aux vignerons.
Un joli mariage de grenache et de syrah, ce vin rouge nous offre de jolis arômes de fruits noirs épicés. Parfait sur une planche de charcuterie ou autour d'une grillade.",https://vandb.fr/domaine-cazes-vin-nouveau-nature-rouge-2020.html
